model,macro_f1,balanced_accuracy,accuracy,mcc,weighted_f1,roc_auc_macro,pr_auc_macro,log_loss
flat_xgboost,0.7049,0.7255,0.8226,0.7028,0.823,0.9552,0.7588,0.5493
hierarchical_xgboost,0.7059,0.6987,0.8401,0.7227,0.8325,0.9616,0.7757,0.4918
