variant,condition,macro_f1,balanced_accuracy,accuracy,mcc,weighted_f1,roc_auc_macro,pr_auc_macro,log_loss
A_normalised,(a) PLAsTiCC -> PLAsTiCC,0.5693259878936271,0.9033142331635541,0.8914728682170543,0.4152726806710444,0.9189205177237993,0.9748195765922646,0.8864724606833239,0.27813529669169873
A_normalised,(b) ZTF -> ZTF,0.6844782458406077,0.7287532908312307,0.8200789622109419,0.5216418328644854,0.8434071506075361,0.9138633890344856,0.7104992478571752,0.45408838052848033
A_normalised,(c) PLAsTiCC -> ZTF,0.1499640548617075,0.2775628764127704,0.12013536379018612,-0.012946772638656082,0.16164244520034682,0.3864994572860791,0.3446992657452652,3.965174369206761
B_scalefree,(a) PLAsTiCC -> PLAsTiCC,0.6350933178609419,0.949490662139219,0.9273255813953488,0.536637253077105,0.942866001893569,0.9859516980917764,0.9187211377028858,0.16610965209171114
B_scalefree,(b) ZTF -> ZTF,0.6397161416701648,0.6898384452936929,0.8099266779469825,0.48922251655839494,0.8331723853024201,0.8974063209474089,0.6636806929418194,0.48027893594974375
B_scalefree,(c) PLAsTiCC -> ZTF,0.15934436304749647,0.2578622002416345,0.10547095318668923,-0.034287251990122315,0.14902699262112323,0.37136739525247214,0.36656831674953994,4.720253970452549
