model,params_M,macro_f1,latency_ms
ResNet-18,11.178051,0.7507746707532682,0.15981718752300367
EfficientNet-B0,4.011391,0.7676485433220015,0.2251894532037113
ALeRCE-CNN,0.332595,0.6606780167479943,0.26059414062729047
