task,label,bands,model,val_macro_f1,macro_f1,balanced_accuracy,accuracy
6band_native,native,6band,XGBoost,0.5634,0.5601839763261346,0.6629760462963049,0.6748726655348047
6band_native,native,6band,LightGBM,0.5595,0.5432823948974906,0.637295666129035,0.6943972835314092
gr_native,native,gr,XGBoost,0.4779979170443524,0.4529307068390821,0.5770324815647453,0.6044142614601019
gr_native,native,gr,LightGBM,0.46388486595620676,0.45614575028311555,0.560114789878412,0.631578947368421
6band_coarse,coarse,6band,XGBoost,0.8192041646893021,0.9868369765940996,0.998991935483871,0.997093023255814
6band_coarse,coarse,6band,LightGBM,0.8322122571001495,1.0,1.0,1.0
gr_coarse,coarse,gr,XGBoost,0.7983155530600786,0.8753884848575302,0.9983198924731184,0.9951550387596899
gr_coarse,coarse,gr,LightGBM,0.8192041646893021,0.8885525283103487,0.9993279569892474,0.998062015503876
