model,macro_f1,balanced_accuracy,accuracy,mcc,weighted_f1,roc_auc_macro,pr_auc_macro,log_loss
"learned stack, uncalibrated branches",0.951945162023378,0.9563749482751764,0.9825352112676057,0.9331530160586526,0.9825975477093659,0.9953861075054163,0.9763550414286918,0.0736206688545203
"learned stack, calibrated branches",0.9528306009078111,0.9565952611194154,0.9830985915492958,0.9351918914853088,0.9831451233909774,0.9952769480063708,0.9768365249281453,0.0720148535498838
"equal-weight, uncalibrated branches",0.9489652069647548,0.9247937552116764,0.9859154929577465,0.9447978679774893,0.9856193619681346,0.994600486730144,0.9742136522344937,0.0733554593478057
"equal-weight, calibrated branches",0.9448479970376579,0.9291566718647992,0.9836619718309859,0.9361076443066386,0.9834562002950007,0.9957032655662502,0.9782161772872017,0.0604242858548168
