branch,fold,temperature,ece_raw,ece_cal,nll_raw,nll_cal
tabular,val,1.1277246475219727,0.008929254792889038,0.005726800251624447,0.06125704698304963,0.06048243818823488
tabular,test,1.1277246475219727,0.02134822434633062,0.016312410207223335,0.14442934405965868,0.1370779543785248
image,val,1.667446255683899,0.044275857776223074,0.015090338670514052,0.2932941857717089,0.2528467813847308
image,test,1.667446255683899,0.04131043622200628,0.010483376576221618,0.2817735809232294,0.24193474174228183
