branch,fold,macro_f1,balanced_accuracy,log_loss,ece
lightgbm (LC),oof,0.9602333208361871,0.9430001761873607,0.054154134797670894,0.0032588503688585446
lightgbm (LC),test,0.9457140305486892,0.9440079245780783,0.07264598800042754,0.00669009541490552
effnet_b0 (stamp),oof,0.7509523176952978,0.7373660519603317,0.3430775187678714,0.022017580903203986
effnet_b0 (stamp),test,0.7592047141495515,0.803079165335419,0.2278875371590807,0.05357627622489378
