branch,fold,state,T,ece,log_loss,macro_f1
lightgbm (LC),oof,uncalibrated,1.0,0.009104713409229874,0.0667043281977655,0.9602333208361871
lightgbm (LC),oof,calibrated,1.6718156695642157,0.0032588503688585446,0.054154134797670894,0.9602333208361871
lightgbm (LC),test,uncalibrated,1.0,0.012709900348883408,0.10125807555527744,0.9457140305486892
lightgbm (LC),test,calibrated,1.6718156695642157,0.00669009541490552,0.07264598800042754,0.9457140305486892
effnet_b0 (stamp),oof,uncalibrated,1.0,0.07180807958895684,0.5986990172851514,0.7509523176952978
effnet_b0 (stamp),oof,calibrated,3.017607741977585,0.022017580903203986,0.3430775187678714,0.7509523176952978
effnet_b0 (stamp),test,uncalibrated,1.0,0.04263003191477817,0.2471515559383308,0.7592047141495515
effnet_b0 (stamp),test,calibrated,3.017607741977585,0.05357627622489378,0.2278875371590807,0.7592047141495515
