model,macro_f1,balanced_accuracy,accuracy,mcc,weighted_f1,roc_auc_macro,pr_auc_macro,log_loss,is_winner
(a) lightgbm (LC) alone,0.9457140305486892,0.9440079245780783,0.9814084507042253,0.9283229436526097,0.9814003170840973,0.9938217017624517,0.9766064743165143,0.07264598800042754,False
(b) Equal-weight average,0.9448479970376579,0.9291566718647992,0.9836619718309859,0.9361076443066386,0.9834562002950007,0.9957032655662502,0.9782161772872017,0.0604242858548168,False
(c) Learned stack,0.9528306009078111,0.9565952611194154,0.9830985915492958,0.9351918914853088,0.9831451233909774,0.9952769480063708,0.9768365249281453,0.0720148535498838,True
