fold,branch,macro_f1,log_loss,mean_max_p
train,tabular,1.0,8.044311227702423e-05,0.999919629624324
train,image,0.9062088933302563,0.12584772613855705,0.959085712945407
val,tabular,1.0,0.00014181264554043426,0.9998583423722639
val,image,0.8813945642027429,0.10837061199345166,0.9585978027569149
test,tabular,0.9457140305486892,0.10125807555527744,0.9928457937794963
test,image,0.7676485433220015,0.21528731974157936,0.9486120667450212
