w,oof_macro_f1,test_macro_f1
0.0,0.7509523176952978,0.7592047141495515
0.02,0.7637282458719253,0.7845750939684084
0.04,0.7773129148915138,0.8061217361876922
0.06,0.7924109969045423,0.8243328924165856
0.08,0.8040603871784918,0.8413068387703336
0.1,0.8135514776551274,0.870001301529598
0.12,0.8265191324034008,0.8850454130844024
0.14,0.8324897632178884,0.89725157891194
0.16,0.8383719730558493,0.9179760594386351
0.18,0.8466537284628423,0.9274499701584898
0.2,0.8521489331169606,0.9343055935395363
0.22,0.8581251552788984,0.9397773077667151
0.24,0.864426649158553,0.9407816388218658
0.26,0.8701334318152707,0.9442147837467226
0.28,0.8767261685503763,0.9442147837467226
0.3,0.8812181412646467,0.9505045023734944
0.32,0.8834473447121255,0.9489652069647548
0.34,0.8895106616987108,0.9489652069647548
0.36,0.8931947742762754,0.9489652069647548
0.38,0.8973460477767038,0.9495685816589434
0.4,0.9003952749840751,0.9526018299626369
0.42,0.9044625123372366,0.9516816657107153
0.44,0.9066016988848212,0.9484291197314776
0.46,0.9110883729195894,0.9475129722229675
0.48,0.9140241243742567,0.9448479970376579
0.5,0.9215358589896941,0.9448479970376579
0.52,0.9276865823040238,0.943935761808941
0.54,0.9318003502249442,0.9462750291760993
0.56,0.9332161190807101,0.9472613199917932
0.58,0.93732135269819,0.9440137001112611
0.6,0.9374243621587232,0.9440137001112611
0.62,0.9407217337409547,0.9495516913462844
0.64,0.9408444068455752,0.9471397139713972
0.66,0.9434102087840835,0.9502791200216093
0.68,0.9439254691046789,0.9502791200216093
0.7000000000000001,0.9470615266840468,0.9502791200216093
0.72,0.9478613926362067,0.9511836897975513
0.74,0.9489907897094114,0.9511836897975513
0.76,0.9507666348986495,0.9502791200216093
0.78,0.9524797983177083,0.9524682357553308
0.8,0.9535375881412183,0.951571405933576
0.8200000000000001,0.9546827054880266,0.9505854853029736
0.84,0.9563178450059077,0.9505854853029736
0.86,0.9573579904847311,0.9505854853029736
0.88,0.9579559520078013,0.9505854853029736
0.9,0.9577090259094622,0.9474957576236743
0.92,0.9577090259094622,0.9474957576236743
0.9400000000000001,0.958308875375884,0.9474957576236743
0.96,0.9593808223814285,0.9466029912903572
0.98,0.9591702851534455,0.9466029912903572
1.0,0.9602333208361871,0.9457140305486892
