comparison,delta_macro_f1,ci_lo,ci_hi,excludes_zero,mcnemar_p
(c) Learned stack vs (a) lightgbm (LC) alone,0.007116570359121943,-0.0016543238630160662,0.01778200790349524,False,0.5078125
(c) Learned stack vs (b) Equal-weight average,0.00798260387015326,-0.006696038515862568,0.026208557166326495,False,1.0
(b) Equal-weight average vs (a) lightgbm (LC) alone,-0.0008660335110313166,-0.01841630129998915,0.01569991453544346,False,0.480682373046875
